"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Age of Mother"	"Age of Mother Code"	Births
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"35-39 years"	"35-39"	66346
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"40-44 years"	"40-44"	12491
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"45-49 years"	"45-49"	618
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"50 years and over"	"50+"	23
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"Under 15 years"	"15"	1036
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"15-19 years"	"15-19"	62206
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"20-24 years"	"20-24"	153863
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"25-29 years"	"25-29"	168072
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"30-34 years"	"30-34"	148967
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"35-39 years"	"35-39"	65308
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"40-44 years"	"40-44"	12871
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"45-49 years"	"45-49"	600
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"50 years and over"	"50+"	27
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"Under 15 years"	"15"	478
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"15-19 years"	"15-19"	28610
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"20-24 years"	"20-24"	62052
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"25-29 years"	"25-29"	73797
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"30-34 years"	"30-34"	60325
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"35-39 years"	"35-39"	23395
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"40-44 years"	"40-44"	3671
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"45-49 years"	"45-49"	168
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"50 years and over"	"50+"	0
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"Under 15 years"	"15"	449
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"15-19 years"	"15-19"	28856
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"20-24 years"	"20-24"	60993
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"25-29 years"	"25-29"	74664
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"30-34 years"	"30-34"	59894
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"35-39 years"	"35-39"	24461
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"40-44 years"	"40-44"	3914
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"45-49 years"	"45-49"	197
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"50 years and over"	"50+"	0
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"Under 15 years"	"15"	446
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"15-19 years"	"15-19"	28696
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"20-24 years"	"20-24"	61398
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"25-29 years"	"25-29"	75800
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"30-34 years"	"30-34"	58406
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"35-39 years"	"35-39"	25256
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"40-44 years"	"40-44"	4131
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"45-49 years"	"45-49"	195
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"50 years and over"	"50+"	Suppressed
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"Under 15 years"	"15"	376
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"15-19 years"	"15-19"	28948
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"20-24 years"	"20-24"	63209
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"25-29 years"	"25-29"	76199
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"30-34 years"	"30-34"	58491
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"35-39 years"	"35-39"	26105
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"40-44 years"	"40-44"	4462
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"45-49 years"	"45-49"	216
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"50 years and over"	"50+"	12
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"Under 15 years"	"15"	386
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"15-19 years"	"15-19"	28725
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"20-24 years"	"20-24"	64785
