"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Chronic Hypertension"	"Chronic Hypertension Code"	Births
	"Division 7: West South Central"	"CENS-D7"	"2010"	"2010"	"Unknown or Not Stated"	"9"	29
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"Yes"	"1"	7382
	"Division 7: West South Central"	"CENS-D7"	"2011"	"2011"	"No"	"2"	522930
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"Yes"	"1"	7242
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"No"	"2"	529217
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"Yes"	"1"	7855
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"No"	"2"	533878
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"Yes"	"1"	8429
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"No"	"2"	547680
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"Yes"	"1"	8971
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"No"	"2"	551342
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"Yes"	"1"	8895
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"No"	"2"	543193
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"Yes"	"1"	9631
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"No"	"2"	521166
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Yes"	"1"	10274
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"No"	"2"	514747
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Unknown or Not Stated"	"9"	36
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"Yes"	"1"	10194
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"No"	"2"	511649
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"Unknown or Not Stated"	"9"	404
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"Yes"	"1"	11473
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"No"	"2"	496421
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"Unknown or Not Stated"	"9"	498
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"Yes"	"1"	12188
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"No"	"2"	502651
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"Unknown or Not Stated"	"9"	567
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"Yes"	"1"	13324
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"No"	"2"	515308
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"Unknown or Not Stated"	"9"	1391
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"Yes"	"1"	14326
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"No"	"2"	511104
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"Unknown or Not Stated"	"9"	615
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Yes"	"1"	2859
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"No"	"2"	309797
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Unknown or Not Stated"	"9"	32
