"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Diabetes"	"Diabetes Code"	Births
	"Division 7: West South Central"	"CENS-D7"	"2012"	"2012"	"No"	"2"	509898
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"Yes"	"1"	26931
	"Division 7: West South Central"	"CENS-D7"	"2013"	"2013"	"No"	"2"	514802
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"Yes"	"1"	30966
	"Division 7: West South Central"	"CENS-D7"	"2014"	"2014"	"No"	"2"	525143
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"Yes"	"1"	31037
	"Division 7: West South Central"	"CENS-D7"	"2015"	"2015"	"No"	"2"	529276
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"Yes"	"1"	31745
	"Division 7: West South Central"	"CENS-D7"	"2016"	"2016"	"No"	"2"	520343
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"Yes"	"1"	32552
	"Division 7: West South Central"	"CENS-D7"	"2017"	"2017"	"No"	"2"	498245
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Yes"	"1"	33125
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"No"	"2"	491896
	"Division 7: West South Central"	"CENS-D7"	"2018"	"2018"	"Unknown or Not Stated"	"9"	36
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"Yes"	"1"	34000
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"No"	"2"	487843
	"Division 7: West South Central"	"CENS-D7"	"2019"	"2019"	"Unknown or Not Stated"	"9"	404
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"Yes"	"1"	38353
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"No"	"2"	469541
	"Division 7: West South Central"	"CENS-D7"	"2020"	"2020"	"Unknown or Not Stated"	"9"	498
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"Yes"	"1"	40111
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"No"	"2"	474728
	"Division 7: West South Central"	"CENS-D7"	"2021"	"2021"	"Unknown or Not Stated"	"9"	567
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"Yes"	"1"	41036
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"No"	"2"	487596
	"Division 7: West South Central"	"CENS-D7"	"2022"	"2022"	"Unknown or Not Stated"	"9"	1391
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"Yes"	"1"	41916
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"No"	"2"	483514
	"Division 7: West South Central"	"CENS-D7"	"2023"	"2023"	"Unknown or Not Stated"	"9"	615
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Yes"	"1"	13834
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"No"	"2"	298822
	"Division 8: Mountain"	"CENS-D8"	"2010"	"2010"	"Unknown or Not Stated"	"9"	32
	"Division 8: Mountain"	"CENS-D8"	"2011"	"2011"	"Yes"	"1"	14045
