"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"OE Gestational Age 10"	"OE Gestational Age 10 Code"	Births
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"42 weeks or more"	"09"	1736
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Unknown or Not Stated"	"10"	593
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"			468732
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Under 20 weeks"	"01"	135
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"20 - 27 weeks"	"02"	2657
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"28 - 31 weeks"	"03"	4116
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"32 - 35 weeks"	"04"	19238
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"36 weeks"	"05"	16668
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"37 - 39 weeks"	"06"	276670
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"40 weeks"	"07"	105390
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"41 weeks"	"08"	36069
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"42 weeks or more"	"09"	1603
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Unknown or Not Stated"	"10"	588
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"			463134
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Under 20 weeks"	"01"	150
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"20 - 27 weeks"	"02"	2681
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"28 - 31 weeks"	"03"	4027
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"32 - 35 weeks"	"04"	19418
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"36 weeks"	"05"	16865
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"37 - 39 weeks"	"06"	279095
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"40 weeks"	"07"	99146
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"41 weeks"	"08"	31900
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"42 weeks or more"	"09"	1395
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Unknown or Not Stated"	"10"	677
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"			455354
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Under 20 weeks"	"01"	121
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"20 - 27 weeks"	"02"	2472
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"28 - 31 weeks"	"03"	3722
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"32 - 35 weeks"	"04"	18399
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"36 weeks"	"05"	16192
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"37 - 39 weeks"	"06"	273811
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"40 weeks"	"07"	93185
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"41 weeks"	"08"	28238
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"42 weeks or more"	"09"	1240
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Unknown or Not Stated"	"10"	605
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"			437985
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Under 20 weeks"	"01"	97
